,0
0,South Carolina
1,Iowa
2,Arizona
3,Florida
4,Kansas
5,Oregon
6,Mississippi
7,Tennessee
8,Kentucky
9,Texas
10,South Dakota
11,Virginia
12,Idaho
13,Massachusetts
14,West Virginia
15,Arkansas
16,Missouri
17,Utah
18,New Jersey
19,Washington
20,Georgia
21,North Dakota
22,Montana
23,Wisconsin
24,Maine
25,Louisiana
26,Colorado
27,Nebraska
28,Indiana
29,Oklahoma
30,California
31,New Hampshire
32,Michigan
33,Pennsylvania
34,Illinois
35,Hawaii
36,Wyoming
37,Rhode Island
38,Nevada
39,Maryland
40,Minnesota
41,New Mexico
42,Alabama
43,Alaska
44,North Carolina
45,Vermont
46,Connecticut
